Town,Date,Collected_at,Temperature,Weather,Real_feel,Humidity
jadranovo,29.06.2020.,07:30,22.0,malo oblačno,25.0,75.0
vrata,29.06.2020.,07:30,23.0,malo oblačno,25.0,65.0
selce,29.06.2020.,07:30,22.0,malo oblačno,25.0,75.0
veprinac,29.06.2020.,07:30,22.0,vedro,25.0,78.0
omisalj,29.06.2020.,09:30,26.0,vedro,27.0,61.0
matulji,29.06.2020.,09:30,22.0,vedro,25.0,62.0
medveja,29.06.2020.,09:30,26.0,vedro,27.0,61.0
lovran,29.06.2020.,09:30,26.0,vedro,27.0,61.0
lipa,29.06.2020.,09:30,26.0,vedro,27.0,57.0
krasica,29.06.2020.,09:30,26.0,vedro,27.0,61.0
klenovica,29.06.2020.,09:30,27.0,vedro,28.0,57.0
kastav,29.06.2020.,09:30,22.0,vedro,25.0,62.0
klana,29.06.2020.,09:30,22.0,vedro,25.0,62.0
grobnik,29.06.2020.,09:30,26.0,vedro,27.0,57.0
hreljin,29.06.2020.,09:30,26.0,vedro,27.0,61.0
fuzine,29.06.2020.,09:30,27.0,vedro,28.0,54.0
drazice,29.06.2020.,09:30,26.0,vedro,27.0,61.0
delnice,29.06.2020.,09:30,27.0,vedro,28.0,54.0
crikvenica,29.06.2020.,09:30,26.0,malo oblačno,27.0,62.0
bribir,29.06.2020.,09:30,23.0,malo oblačno,25.0,56.0
brgud,29.06.2020.,09:30,23.0,malo oblačno,25.0,56.0
bakar,29.06.2020.,09:30,26.0,vedro,27.0,61.0
bakarac,29.06.2020.,09:30,26.0,vedro,27.0,61.0
baska,29.06.2020.,09:30,27.0,vedro,28.0,57.0
rubesi,29.06.2020.,09:30,22.0,vedro,25.0,62.0
rijeka,29.06.2020.,09:30,26.0,vedro,27.0,61.0
opatija,29.06.2020.,09:30,25.0,vedro,27.0,68.0
jadranovo,29.06.2020.,09:30,26.0,malo oblačno,27.0,62.0
vrata,29.06.2020.,09:30,27.0,vedro,28.0,54.0
selce,29.06.2020.,09:30,26.0,malo oblačno,27.0,62.0
veprinac,29.06.2020.,09:30,26.0,vedro,27.0,61.0
omisalj,29.06.2020.,11:30,28.0,malo oblačno,29.0,56.0
matulji,29.06.2020.,11:30,24.0,malo oblačno,25.0,57.0
medveja,29.06.2020.,11:30,28.0,malo oblačno,29.0,56.0
lovran,29.06.2020.,11:30,28.0,malo oblačno,29.0,56.0
lipa,29.06.2020.,11:30,30.0,vedro,31.0,47.0
krasica,29.06.2020.,11:30,28.0,malo oblačno,29.0,56.0
klenovica,29.06.2020.,11:30,28.0,vedro,29.0,55.0
kastav,29.06.2020.,11:30,24.0,malo oblačno,25.0,57.0
klana,29.06.2020.,11:30,24.0,malo oblačno,25.0,57.0
grobnik,29.06.2020.,11:30,30.0,vedro,31.0,47.0
hreljin,29.06.2020.,11:30,28.0,malo oblačno,29.0,56.0
fuzine,29.06.2020.,11:30,29.0,vedro,29.0,44.0
drazice,29.06.2020.,11:30,28.0,malo oblačno,29.0,56.0
delnice,29.06.2020.,11:30,29.0,vedro,29.0,44.0
crikvenica,29.06.2020.,11:30,32.0,malo oblačno,32.0,40.5
bribir,29.06.2020.,11:30,31.0,vedro,31.0,37.0
brgud,29.06.2020.,11:30,31.0,vedro,31.0,37.0
bakar,29.06.2020.,11:30,28.0,malo oblačno,29.0,56.0
bakarac,29.06.2020.,11:30,28.0,malo oblačno,29.0,56.0
baska,29.06.2020.,11:30,28.0,vedro,29.0,55.0
rubesi,29.06.2020.,11:30,24.0,malo oblačno,25.0,57.0
rijeka,29.06.2020.,11:30,28.0,malo oblačno,29.0,56.0
opatija,29.06.2020.,11:30,29.0,vedro,30.0,53.0
jadranovo,29.06.2020.,11:30,32.0,malo oblačno,32.0,48.5
vrata,29.06.2020.,11:30,29.0,vedro,29.0,44.0
selce,29.06.2020.,11:30,32.0,malo oblačno,32.0,50.0
veprinac,29.06.2020.,11:30,28.0,malo oblačno,29.0,56.0
omisalj,29.06.2020.,13:30,28.0,malo oblačno,29.0,57.0
matulji,29.06.2020.,13:30,24.0,malo oblačno,25.0,50.0
medveja,29.06.2020.,13:30,28.0,malo oblačno,29.0,57.0
lovran,29.06.2020.,13:30,28.0,malo oblačno,29.0,57.0
lipa,29.06.2020.,13:30,32.0,malo oblačno,33.0,39.0
krasica,29.06.2020.,13:30,28.0,malo oblačno,29.0,57.0
klenovica,29.06.2020.,13:30,30.0,vedro,31.0,49.0
kastav,29.06.2020.,13:30,24.0,malo oblačno,25.0,50.0
klana,29.06.2020.,13:30,24.0,malo oblačno,25.0,50.0
grobnik,29.06.2020.,13:30,32.0,malo oblačno,33.0,39.0
hreljin,29.06.2020.,13:30,28.0,malo oblačno,29.0,57.0
fuzine,29.06.2020.,13:30,29.0,vedro,29.0,42.0
drazice,29.06.2020.,13:30,28.0,malo oblačno,29.0,57.0
delnice,29.06.2020.,13:30,29.0,vedro,29.0,42.0
crikvenica,29.06.2020.,13:30,29.0,malo oblačno,31.0,54.0
bribir,29.06.2020.,13:30,31.0,umjereno oblačno,30.0,31.0
brgud,29.06.2020.,13:30,31.0,umjereno oblačno,30.0,31.0
bakar,29.06.2020.,13:30,28.0,malo oblačno,29.0,57.0
bakarac,29.06.2020.,13:30,28.0,malo oblačno,29.0,57.0
baska,29.06.2020.,13:30,30.0,vedro,31.0,49.0
rubesi,29.06.2020.,13:30,24.0,malo oblačno,25.0,50.0
rijeka,29.06.2020.,13:30,28.0,malo oblačno,29.0,57.0
opatija,29.06.2020.,13:30,30.0,vedro,31.0,47.0
jadranovo,29.06.2020.,13:30,29.0,malo oblačno,31.0,54.0
vrata,29.06.2020.,13:30,29.0,vedro,29.0,42.0
selce,29.06.2020.,13:30,29.0,malo oblačno,31.0,54.0
veprinac,29.06.2020.,13:30,28.0,malo oblačno,29.0,57.0
omisalj,29.06.2020.,15:30,29.0,malo oblačno,30.0,53.0
matulji,29.06.2020.,15:30,24.0,umjereno oblačno,25.0,53.0
medveja,29.06.2020.,15:30,29.0,malo oblačno,30.0,53.0
lovran,29.06.2020.,15:30,29.0,malo oblačno,30.0,53.0
lipa,29.06.2020.,15:30,33.0,malo oblačno,33.0,31.0
krasica,29.06.2020.,15:30,29.0,malo oblačno,30.0,53.0
klenovica,29.06.2020.,15:30,31.0,malo oblačno,32.0,42.0
kastav,29.06.2020.,15:30,24.0,umjereno oblačno,25.0,53.0
klana,29.06.2020.,15:30,24.0,umjereno oblačno,25.0,53.0
grobnik,29.06.2020.,15:30,33.0,malo oblačno,33.0,31.0
hreljin,29.06.2020.,15:30,29.0,malo oblačno,30.0,53.0
fuzine,29.06.2020.,15:30,30.0,vedro,30.0,40.0
drazice,29.06.2020.,15:30,29.0,malo oblačno,30.0,53.0
delnice,29.06.2020.,15:30,30.0,vedro,30.0,40.0
crikvenica,29.06.2020.,15:30,30.0,promjenjivo oblačno s povremenom kišom,31.0,47.0
bribir,29.06.2020.,15:30,32.0,umjereno oblačno,31.0,30.0
brgud,29.06.2020.,15:30,32.0,umjereno oblačno,31.0,30.0
bakar,29.06.2020.,15:30,29.0,malo oblačno,30.0,53.0
bakarac,29.06.2020.,15:30,29.0,malo oblačno,30.0,53.0
baska,29.06.2020.,15:30,31.0,malo oblačno,32.0,42.0
rubesi,29.06.2020.,15:30,24.0,umjereno oblačno,25.0,53.0
rijeka,29.06.2020.,15:30,29.0,malo oblačno,30.0,53.0
opatija,29.06.2020.,15:30,33.0,malo oblačno,34.0,37.0
jadranovo,29.06.2020.,15:30,30.0,promjenjivo oblačno s povremenom kišom,31.0,47.0
vrata,29.06.2020.,15:30,30.0,vedro,30.0,40.0
selce,29.06.2020.,15:30,30.0,promjenjivo oblačno s povremenom kišom,31.0,47.0
veprinac,29.06.2020.,15:30,29.0,malo oblačno,30.0,53.0
omisalj,29.06.2020.,17:30,27.0,malo oblačno,28.0,56.0
matulji,29.06.2020.,17:30,23.0,malo oblačno,25.0,54.0
medveja,29.06.2020.,17:30,27.0,malo oblačno,28.0,56.0
lovran,29.06.2020.,17:30,27.0,malo oblačno,28.0,56.0
lipa,29.06.2020.,17:30,23.0,malo oblačno,23.0,56.0
krasica,29.06.2020.,17:30,27.0,malo oblačno,28.0,56.0
klenovica,29.06.2020.,17:30,30.0,malo oblačno,30.0,39.0
kastav,29.06.2020.,17:30,23.0,malo oblačno,25.0,54.0
klana,29.06.2020.,17:30,23.0,malo oblačno,25.0,54.0
grobnik,29.06.2020.,17:30,23.0,malo oblačno,23.0,55.0
hreljin,29.06.2020.,17:30,27.0,malo oblačno,28.0,56.0
fuzine,29.06.2020.,17:30,28.0,malo oblačno,28.0,42.0
drazice,29.06.2020.,17:30,27.0,malo oblačno,28.0,56.0
delnice,29.06.2020.,17:30,28.0,malo oblačno,28.0,42.0
crikvenica,29.06.2020.,17:30,29.0,malo oblačno,29.0,45.0
bribir,29.06.2020.,17:30,32.0,umjereno oblačno,31.0,27.0
brgud,29.06.2020.,17:30,32.0,umjereno oblačno,31.0,27.0
bakar,29.06.2020.,17:30,27.0,malo oblačno,28.0,56.0
bakarac,29.06.2020.,17:30,27.0,malo oblačno,28.0,56.0
baska,29.06.2020.,17:30,30.0,malo oblačno,30.0,39.0
rubesi,29.06.2020.,17:30,23.0,malo oblačno,25.0,54.0
rijeka,29.06.2020.,17:30,27.0,malo oblačno,28.0,56.0
opatija,29.06.2020.,17:30,23.0,umjereno oblačno,25.0,63.0
jadranovo,29.06.2020.,17:30,29.0,malo oblačno,29.0,45.0
vrata,29.06.2020.,17:30,28.0,malo oblačno,28.0,42.0
selce,29.06.2020.,17:30,29.0,malo oblačno,29.0,45.0
veprinac,29.06.2020.,17:30,27.0,malo oblačno,28.0,56.0
omisalj,29.06.2020.,19:30,28.0,malo oblačno,29.0,55.0
matulji,29.06.2020.,19:30,18.0,malo oblačno,18.0,71.0
medveja,29.06.2020.,19:30,28.0,malo oblačno,29.0,55.0
lovran,29.06.2020.,19:30,28.0,malo oblačno,29.0,55.0
lipa,29.06.2020.,19:30,21.0,malo oblačno,24.0,62.0
krasica,29.06.2020.,19:30,28.0,malo oblačno,29.0,55.0
klenovica,29.06.2020.,19:30,32.0,malo oblačno,31.0,30.0
kastav,29.06.2020.,19:30,18.0,malo oblačno,18.0,71.0
klana,29.06.2020.,19:30,18.0,malo oblačno,18.0,71.0
grobnik,29.06.2020.,19:30,21.0,malo oblačno,24.0,62.0
hreljin,29.06.2020.,19:30,28.0,malo oblačno,29.0,55.0
fuzine,29.06.2020.,19:30,21.0,malo oblačno,24.0,60.0
drazice,29.06.2020.,19:30,28.0,malo oblačno,29.0,55.0
delnice,29.06.2020.,19:30,21.0,malo oblačno,24.0,60.0
crikvenica,29.06.2020.,19:30,30.0,malo oblačno,30.0,41.0
bribir,29.06.2020.,19:30,31.0,umjereno oblačno,30.0,28.0
brgud,29.06.2020.,19:30,31.0,umjereno oblačno,30.0,28.0
bakar,29.06.2020.,19:30,28.0,malo oblačno,29.0,55.0
bakarac,29.06.2020.,19:30,28.0,malo oblačno,29.0,55.0
baska,29.06.2020.,19:30,32.0,malo oblačno,31.0,30.0
rubesi,29.06.2020.,19:30,18.0,malo oblačno,18.0,71.0
rijeka,29.06.2020.,19:30,28.0,malo oblačno,29.0,55.0
opatija,29.06.2020.,19:30,22.0,potpuno oblačno,25.0,57.0
jadranovo,29.06.2020.,19:30,30.0,malo oblačno,30.0,41.0
vrata,29.06.2020.,19:30,21.0,malo oblačno,24.0,60.0
selce,29.06.2020.,19:30,30.0,malo oblačno,30.0,41.0
veprinac,29.06.2020.,19:30,28.0,malo oblačno,29.0,55.0
omisalj,29.06.2020.,21:30,25.0,umjereno oblačno,26.0,61.0
matulji,29.06.2020.,21:30,16.0,potpuno oblačno,16.0,86.0
medveja,29.06.2020.,21:30,25.0,umjereno oblačno,26.0,61.0
lovran,29.06.2020.,21:30,25.0,umjereno oblačno,26.0,61.0
lipa,29.06.2020.,21:30,20.0,pretežno oblačno,24.0,70.0
krasica,29.06.2020.,21:30,25.0,umjereno oblačno,26.0,61.0
klenovica,29.06.2020.,21:30,24.0,malo oblačno,25.0,49.0
kastav,29.06.2020.,21:30,16.0,potpuno oblačno,16.0,86.0
klana,29.06.2020.,21:30,16.0,potpuno oblačno,16.0,86.0
grobnik,29.06.2020.,21:30,20.0,pretežno oblačno,24.0,70.0
hreljin,29.06.2020.,21:30,25.0,umjereno oblačno,26.0,61.0
fuzine,29.06.2020.,21:30,19.0,malo oblačno,19.0,66.0
drazice,29.06.2020.,21:30,25.0,umjereno oblačno,26.0,61.0
delnice,29.06.2020.,21:30,19.0,malo oblačno,19.0,66.0
crikvenica,29.06.2020.,21:30,27.0,malo oblačno,27.0,44.0
bribir,29.06.2020.,21:30,27.0,umjereno oblačno,27.0,45.0
brgud,29.06.2020.,21:30,27.0,umjereno oblačno,27.0,45.0
bakar,29.06.2020.,21:30,25.0,umjereno oblačno,26.0,61.0
bakarac,29.06.2020.,21:30,25.0,umjereno oblačno,26.0,61.0
baska,29.06.2020.,21:30,24.0,malo oblačno,25.0,49.0
rubesi,29.06.2020.,21:30,16.0,potpuno oblačno,16.0,86.0
rijeka,29.06.2020.,21:30,25.0,umjereno oblačno,26.0,61.0
opatija,29.06.2020.,21:30,19.0,slaba kiša,19.0,83.0
jadranovo,29.06.2020.,21:30,27.0,malo oblačno,27.0,44.0
vrata,29.06.2020.,21:30,19.0,malo oblačno,19.0,66.0
selce,29.06.2020.,21:30,27.0,malo oblačno,27.0,44.0
veprinac,29.06.2020.,21:30,25.0,umjereno oblačno,26.0,61.0
omisalj,29.06.2020.,23:30,24.0,malo oblačno,25.0,52.0
matulji,29.06.2020.,23:30,15.0,malo oblačno,15.0,81.0
medveja,29.06.2020.,23:30,24.0,malo oblačno,25.0,52.0
lovran,29.06.2020.,23:30,24.0,malo oblačno,25.0,52.0
lipa,29.06.2020.,23:30,18.0,malo oblačno,18.0,84.0
krasica,29.06.2020.,23:30,24.0,malo oblačno,25.0,52.0
klenovica,29.06.2020.,23:30,24.0,malo oblačno,25.0,53.0
kastav,29.06.2020.,23:30,15.0,malo oblačno,15.0,81.0
klana,29.06.2020.,23:30,15.0,malo oblačno,15.0,81.0
grobnik,29.06.2020.,23:30,18.0,malo oblačno,18.0,84.0
hreljin,29.06.2020.,23:30,24.0,malo oblačno,25.0,52.0
fuzine,29.06.2020.,23:30,18.0,malo oblačno,18.0,74.0
drazice,29.06.2020.,23:30,24.0,malo oblačno,25.0,52.0
delnice,29.06.2020.,23:30,18.0,malo oblačno,18.0,74.0
crikvenica,29.06.2020.,23:30,26.0,malo oblačno,26.0,41.0
bribir,29.06.2020.,23:30,21.0,umjereno oblačno,21.0,44.666666666666664
brgud,29.06.2020.,23:30,21.0,umjereno oblačno,21.0,48.333333333333336
bakar,29.06.2020.,23:30,24.0,malo oblačno,25.0,52.0
bakarac,29.06.2020.,23:30,24.0,malo oblačno,25.0,52.0
baska,29.06.2020.,23:30,24.0,malo oblačno,25.0,53.0
rubesi,29.06.2020.,23:30,15.0,malo oblačno,15.0,81.0
rijeka,29.06.2020.,23:30,24.0,malo oblačno,25.0,52.0
opatija,29.06.2020.,23:30,19.0,potpuno oblačno,19.0,89.0
jadranovo,29.06.2020.,23:30,26.0,malo oblačno,26.0,41.0
vrata,29.06.2020.,23:30,18.0,malo oblačno,18.0,74.0
selce,29.06.2020.,23:30,26.0,malo oblačno,26.0,41.0
veprinac,29.06.2020.,23:30,24.0,malo oblačno,25.0,52.0
omisalj,30.06.2020.,01:30,24.0,promjenjivo oblačno s povremenom kišom,25.0,49.0
matulji,30.06.2020.,01:30,14.0,malo oblačno,14.0,82.0
medveja,30.06.2020.,01:30,24.0,promjenjivo oblačno s povremenom kišom,25.0,49.0
lovran,30.06.2020.,01:30,24.0,promjenjivo oblačno s povremenom kišom,25.0,49.0
lipa,30.06.2020.,01:30,18.0,malo oblačno,18.0,87.0
krasica,30.06.2020.,01:30,24.0,promjenjivo oblačno s povremenom kišom,25.0,49.0
klenovica,30.06.2020.,01:30,24.0,malo oblačno,25.0,47.0
kastav,30.06.2020.,01:30,14.0,malo oblačno,14.0,82.0
klana,30.06.2020.,01:30,14.0,malo oblačno,14.0,82.0
grobnik,30.06.2020.,01:30,18.0,malo oblačno,18.0,87.0
hreljin,30.06.2020.,01:30,24.0,promjenjivo oblačno s povremenom kišom,25.0,49.0
fuzine,30.06.2020.,01:30,17.0,malo oblačno,17.0,79.0
drazice,30.06.2020.,01:30,24.0,promjenjivo oblačno s povremenom kišom,25.0,49.0
delnice,30.06.2020.,01:30,17.0,malo oblačno,17.0,79.0
crikvenica,30.06.2020.,01:30,26.0,malo oblačno,26.0,39.0
bribir,30.06.2020.,01:30,21.0,umjereno oblačno,21.0,42.333333333333336
brgud,30.06.2020.,01:30,21.0,umjereno oblačno,21.0,45.666666666666664
bakar,30.06.2020.,01:30,24.0,promjenjivo oblačno s povremenom kišom,25.0,49.0
bakarac,30.06.2020.,01:30,24.0,promjenjivo oblačno s povremenom kišom,25.0,49.0
baska,30.06.2020.,01:30,24.0,malo oblačno,25.0,47.0
rubesi,30.06.2020.,01:30,14.0,malo oblačno,14.0,82.0
rijeka,30.06.2020.,01:30,24.0,promjenjivo oblačno s povremenom kišom,25.0,49.0
opatija,30.06.2020.,01:30,18.0,malo oblačno,18.0,89.0
jadranovo,30.06.2020.,01:30,26.0,malo oblačno,26.0,39.0
vrata,30.06.2020.,01:30,17.0,malo oblačno,17.0,79.0
selce,30.06.2020.,01:30,26.0,malo oblačno,26.0,39.0
veprinac,30.06.2020.,01:30,24.0,promjenjivo oblačno s povremenom kišom,25.0,49.0
omisalj,30.06.2020.,03:30,21.0,malo oblačno,24.0,67.0
matulji,30.06.2020.,03:30,15.0,malo oblačno,15.0,79.0
medveja,30.06.2020.,03:30,21.0,malo oblačno,24.0,67.0
lovran,30.06.2020.,03:30,21.0,malo oblačno,24.0,67.0
lipa,30.06.2020.,03:30,17.0,malo oblačno,17.0,90.0
krasica,30.06.2020.,03:30,21.0,malo oblačno,24.0,67.0
klenovica,30.06.2020.,03:30,25.0,malo oblačno,26.0,45.0
kastav,30.06.2020.,03:30,15.0,malo oblačno,15.0,79.0
klana,30.06.2020.,03:30,15.0,malo oblačno,15.0,79.0
grobnik,30.06.2020.,03:30,17.0,malo oblačno,17.0,90.0
hreljin,30.06.2020.,03:30,21.0,malo oblačno,24.0,67.0
fuzine,30.06.2020.,03:30,17.0,slaba kiša,17.0,82.0
drazice,30.06.2020.,03:30,21.0,malo oblačno,24.0,67.0
delnice,30.06.2020.,03:30,17.0,slaba kiša,17.0,82.0
crikvenica,30.06.2020.,03:30,25.0,slaba kiša,26.0,60.0
bribir,30.06.2020.,03:30,20.0,umjereno oblačno,25.0,60.0
brgud,30.06.2020.,03:30,20.0,umjereno oblačno,25.0,60.0
bakar,30.06.2020.,03:30,21.0,malo oblačno,24.0,67.0
bakarac,30.06.2020.,03:30,21.0,malo oblačno,24.0,67.0
baska,30.06.2020.,03:30,25.0,malo oblačno,26.0,45.0
rubesi,30.06.2020.,03:30,15.0,malo oblačno,15.0,79.0
rijeka,30.06.2020.,03:30,21.0,malo oblačno,24.0,67.0
opatija,30.06.2020.,03:30,16.0,malo oblačno,16.0,90.0
jadranovo,30.06.2020.,03:30,25.0,slaba kiša,26.0,60.0
vrata,30.06.2020.,03:30,17.0,slaba kiša,17.0,82.0
selce,30.06.2020.,03:30,25.0,slaba kiša,26.0,60.0
veprinac,30.06.2020.,03:30,21.0,malo oblačno,24.0,67.0
omisalj,30.06.2020.,05:30,22.0,malo oblačno,25.0,58.0
matulji,30.06.2020.,05:30,14.0,malo oblačno,14.0,81.0
medveja,30.06.2020.,05:30,22.0,malo oblačno,25.0,58.0
lovran,30.06.2020.,05:30,22.0,malo oblačno,25.0,58.0
lipa,30.06.2020.,05:30,17.0,potpuno oblačno,17.0,93.0
krasica,30.06.2020.,05:30,22.0,malo oblačno,25.0,58.0
klenovica,30.06.2020.,05:30,24.0,potpuno oblačno,25.0,46.0
kastav,30.06.2020.,05:30,14.0,malo oblačno,14.0,81.0
klana,30.06.2020.,05:30,14.0,malo oblačno,14.0,81.0
grobnik,30.06.2020.,05:30,17.0,potpuno oblačno,17.0,93.0
hreljin,30.06.2020.,05:30,22.0,malo oblačno,25.0,58.0
fuzine,30.06.2020.,05:30,16.0,slaba kiša,16.0,93.0
drazice,30.06.2020.,05:30,22.0,malo oblačno,25.0,58.0
delnice,30.06.2020.,05:30,16.0,slaba kiša,16.0,93.0
crikvenica,30.06.2020.,05:30,23.0,malo oblačno,25.0,50.0
bribir,30.06.2020.,05:30,18.0,umjereno oblačno,18.0,70.0
brgud,30.06.2020.,05:30,18.0,umjereno oblačno,18.0,70.0
bakar,30.06.2020.,05:30,22.0,malo oblačno,25.0,58.0
bakarac,30.06.2020.,05:30,22.0,malo oblačno,25.0,58.0
baska,30.06.2020.,05:30,24.0,potpuno oblačno,25.0,46.0
rubesi,30.06.2020.,05:30,14.0,malo oblačno,14.0,81.0
rijeka,30.06.2020.,05:30,22.0,malo oblačno,25.0,58.0
opatija,30.06.2020.,05:30,16.0,umjereno oblačno,16.0,95.0
jadranovo,30.06.2020.,05:30,23.0,malo oblačno,25.0,50.0
vrata,30.06.2020.,05:30,16.0,slaba kiša,16.0,93.0
selce,30.06.2020.,05:30,23.0,malo oblačno,25.0,50.0
veprinac,30.06.2020.,05:30,22.0,malo oblačno,25.0,58.0
omisalj,30.06.2020.,07:30,22.0,umjereno oblačno,25.0,62.0
matulji,30.06.2020.,07:30,14.0,malo oblačno,14.0,83.0
medveja,30.06.2020.,07:30,22.0,umjereno oblačno,25.0,62.0
lovran,30.06.2020.,07:30,22.0,umjereno oblačno,25.0,62.0
lipa,30.06.2020.,07:30,18.0,pretežno oblačno,18.0,89.0
krasica,30.06.2020.,07:30,22.0,umjereno oblačno,25.0,62.0
klenovica,30.06.2020.,07:30,24.0,umjereno oblačno,25.0,46.0
kastav,30.06.2020.,07:30,14.0,malo oblačno,14.0,83.0
klana,30.06.2020.,07:30,14.0,malo oblačno,14.0,83.0
grobnik,30.06.2020.,07:30,18.0,pretežno oblačno,18.0,89.0
hreljin,30.06.2020.,07:30,22.0,umjereno oblačno,25.0,62.0
fuzine,30.06.2020.,07:30,17.0,malo oblačno,17.0,91.0
drazice,30.06.2020.,07:30,22.0,umjereno oblačno,25.0,62.0
delnice,30.06.2020.,07:30,17.0,malo oblačno,17.0,91.0
crikvenica,30.06.2020.,07:30,25.0,malo oblačno,26.0,55.0
bribir,30.06.2020.,07:30,19.0,umjereno oblačno,19.0,66.0
brgud,30.06.2020.,07:30,19.0,umjereno oblačno,19.0,66.0
bakar,30.06.2020.,07:30,22.0,umjereno oblačno,25.0,62.0
bakarac,30.06.2020.,07:30,22.0,umjereno oblačno,25.0,62.0
baska,30.06.2020.,07:30,24.0,umjereno oblačno,25.0,46.0
rubesi,30.06.2020.,07:30,14.0,malo oblačno,14.0,83.0
rijeka,30.06.2020.,07:30,22.0,umjereno oblačno,25.0,62.0
opatija,30.06.2020.,07:30,18.0,umjereno oblačno,18.0,83.0
jadranovo,30.06.2020.,07:30,25.0,malo oblačno,26.0,55.0
vrata,30.06.2020.,07:30,17.0,malo oblačno,17.0,91.0
selce,30.06.2020.,07:30,25.0,malo oblačno,26.0,55.0
veprinac,30.06.2020.,07:30,22.0,umjereno oblačno,25.0,62.0
omisalj,30.06.2020.,09:30,25.0,pretežno oblačno,26.0,54.0
matulji,30.06.2020.,09:30,19.0,pretežno oblačno,19.0,80.0
medveja,30.06.2020.,09:30,25.0,pretežno oblačno,26.0,54.0
lovran,30.06.2020.,09:30,25.0,pretežno oblačno,26.0,54.0
lipa,30.06.2020.,09:30,21.0,pretežno oblačno,24.0,74.0
krasica,30.06.2020.,09:30,25.0,pretežno oblačno,26.0,54.0
klenovica,30.06.2020.,09:30,26.0,malo oblačno,26.0,45.0
kastav,30.06.2020.,09:30,19.0,pretežno oblačno,19.0,80.0
klana,30.06.2020.,09:30,19.0,pretežno oblačno,19.0,80.0
grobnik,30.06.2020.,09:30,21.0,pretežno oblačno,24.0,74.0
hreljin,30.06.2020.,09:30,25.0,pretežno oblačno,26.0,54.0
fuzine,30.06.2020.,09:30,21.0,umjereno oblačno,24.0,69.0
drazice,30.06.2020.,09:30,25.0,pretežno oblačno,26.0,54.0
delnice,30.06.2020.,09:30,21.0,umjereno oblačno,24.0,69.0
crikvenica,30.06.2020.,09:30,29.0,malo oblačno,29.0,57.5
bribir,30.06.2020.,09:30,25.0,vedro,26.0,46.0
brgud,30.06.2020.,09:30,25.0,vedro,26.0,46.0
bakar,30.06.2020.,09:30,25.0,pretežno oblačno,26.0,54.0
bakarac,30.06.2020.,09:30,25.0,pretežno oblačno,26.0,54.0
baska,30.06.2020.,09:30,26.0,malo oblačno,26.0,45.0
rubesi,30.06.2020.,09:30,19.0,pretežno oblačno,19.0,80.0
rijeka,30.06.2020.,09:30,25.0,pretežno oblačno,26.0,54.0
opatija,30.06.2020.,09:30,21.0,umjereno oblačno,24.0,74.0
jadranovo,30.06.2020.,09:30,29.0,malo oblačno,29.0,71.5
vrata,30.06.2020.,09:30,21.0,umjereno oblačno,24.0,69.0
selce,30.06.2020.,09:30,29.0,malo oblačno,29.0,61.5
veprinac,30.06.2020.,09:30,25.0,pretežno oblačno,26.0,54.0
omisalj,30.06.2020.,11:30,28.0,malo oblačno,28.0,44.0
matulji,30.06.2020.,11:30,21.0,malo oblačno,24.0,69.0
medveja,30.06.2020.,11:30,28.0,malo oblačno,28.0,44.0
lovran,30.06.2020.,11:30,28.0,malo oblačno,28.0,44.0
lipa,30.06.2020.,11:30,23.0,pretežno oblačno,25.0,60.0
krasica,30.06.2020.,11:30,28.0,malo oblačno,28.0,44.0
klenovica,30.06.2020.,11:30,30.0,vedro,30.0,40.0
kastav,30.06.2020.,11:30,21.0,malo oblačno,24.0,69.0
klana,30.06.2020.,11:30,21.0,malo oblačno,24.0,69.0
grobnik,30.06.2020.,11:30,23.0,pretežno oblačno,25.0,60.0
hreljin,30.06.2020.,11:30,28.0,malo oblačno,28.0,44.0
fuzine,30.06.2020.,11:30,24.0,malo oblačno,25.0,60.0
drazice,30.06.2020.,11:30,28.0,malo oblačno,28.0,44.0
delnice,30.06.2020.,11:30,24.0,malo oblačno,25.0,60.0
crikvenica,30.06.2020.,11:30,32.0,malo oblačno,32.0,50.5
bribir,30.06.2020.,11:30,30.0,malo oblačno,30.0,41.0
brgud,30.06.2020.,11:30,30.0,malo oblačno,30.0,41.0
bakar,30.06.2020.,11:30,28.0,malo oblačno,28.0,44.0
bakarac,30.06.2020.,11:30,28.0,malo oblačno,28.0,44.0
baska,30.06.2020.,11:30,30.0,vedro,30.0,40.0
rubesi,30.06.2020.,11:30,21.0,malo oblačno,24.0,69.0
rijeka,30.06.2020.,11:30,28.0,malo oblačno,28.0,44.0
opatija,30.06.2020.,11:30,22.0,pretežno oblačno,25.0,69.0
jadranovo,30.06.2020.,11:30,32.0,malo oblačno,32.0,64.5
vrata,30.06.2020.,11:30,24.0,malo oblačno,25.0,60.0
selce,30.06.2020.,11:30,32.0,malo oblačno,32.0,52.0
veprinac,30.06.2020.,11:30,28.0,malo oblačno,28.0,44.0
omisalj,30.06.2020.,13:30,30.0,malo oblačno,30.0,41.0
matulji,30.06.2020.,13:30,22.0,umjereno oblačno,25.0,59.0
medveja,30.06.2020.,13:30,30.0,malo oblačno,30.0,41.0
lovran,30.06.2020.,13:30,30.0,malo oblačno,30.0,41.0
lipa,30.06.2020.,13:30,25.0,umjereno oblačno,26.0,59.0
krasica,30.06.2020.,13:30,30.0,malo oblačno,30.0,41.0
