Town1,Town2,Distance
selce,bribir,3.1910781809430735
selce,brgud,41.52171338782683
selce,bakar,22.074031885490655
selce,bakarac,17.27730019288756
selce,baska,20.95988754288036
selce,rubesi,37.450213095020274
selce,rijeka,28.836920500789475
selce,opatija,38.02866984156901
selce,jadranovo,11.148220194451364
selce,vrata,17.639490060981643
selce,veprinac,39.91816742654854
veprinac,omisalj,25.87205203446365
veprinac,matulji,4.849205126204161
veprinac,medveja,7.49870836297516
veprinac,lovran,4.740463674660074
veprinac,lipa,14.780880701701491
veprinac,krasica,21.93578383395999
veprinac,klenovica,51.498274230375856
veprinac,kastav,7.001504844306609
veprinac,klana,14.314363788197438
veprinac,grobnik,14.817726533297881
veprinac,hreljin,25.803117604364903
veprinac,fuzine,34.29531095292876
veprinac,drazice,15.91477440910949
veprinac,delnice,41.617274957984094
veprinac,crikvenica,37.16926269359407
veprinac,bribir,42.512058566918874
veprinac,brgud,12.722029917005942
veprinac,bakar,20.347059144887623
veprinac,bakarac,24.69283309196599
veprinac,baska,54.9660055655673
veprinac,rubesi,6.430576915505305
veprinac,rijeka,12.860194456324095
veprinac,opatija,2.038478417900534
veprinac,jadranovo,29.181065578833845
veprinac,vrata,35.37679683936425
veprinac,selce,39.91816742654854
